name,rating,position,nation,team,pac,sho,pas,dri,def,phy
F. Neuhaus,80,CM,Germany,Borussia Mönchengladbach,68,73,79,80,66,67
H. Barnes,80,CAM,England,Leicester City,86,77,75,81,45,64
A. Isak,80,ST,Sweden,Newcastle United,83,79,68,83,29,68
L. Sinisterra,80,LW,Colombia,Leeds United,89,73,72,85,53,63
X. Schlager,80,CDM,Austria,RB Leipzig,67,70,73,77,73,81
D. Kamada,80,CAM,Japan,Eintracht Frankfurt,74,68,79,83,46,61
M. Arambarri,80,CDM,Uruguay,Getafe CF,61,64,73,73,78,77
A. Lafont,80,GK,France,FC Nantes,83,77,68,86,47,77
Maikel Catarino,80,RB,Brazil,Sport Club Corinthians Paulista,76,51,70,77,77,70
Renato Sanches,80,CAM,Portugal,Paris Saint-Germain,83,74,77,84,72,84
Arthur,80,CM,Brazil,Liverpool,71,65,80,86,72,69
Tony Abranjes,80,CB,Brazil,Internacional,67,39,55,58,81,85
Laure Santeiro,80,CAM,Brazil,Fluminense,80,72,77,82,26,45
Héniton Pires,80,GK,Brazil,Flamengo,81,75,78,79,41,81
M. Guendouzi,80,CDM,France,Olympique de Marseille,73,66,79,77,77,80
L. Bailey,80,CAM,Jamaica,Aston Villa,92,78,74,83,33,61
A. Wan-Bissaka,80,RB,England,Manchester United,82,50,66,75,78,73
D. Sow,80,CM,Switzerland,Eintracht Frankfurt,77,69,77,78,77,80
Mario Hermoso,80,CB,Spain,Atlético de Madrid,75,49,73,71,81,80
D. Calabria,80,RB,Italy,AC Milan,79,57,70,74,79,73
E. Álvarez,80,CB,Mexico,Ajax,71,57,67,69,82,86
T. Koopmeiners,80,CM,Netherlands,Atalanta,70,72,80,76,76,77
B. Kamara,80,CDM,France,Aston Villa,70,54,71,73,80,79
V. Tsygankov,80,CAM,Ukraine,Dynamo Kyiv,85,74,78,80,46,59
M. Dmitrović,80,GK,Serbia,Sevilla FC,77,79,78,81,37,80
I. McAdoo,80,CB,England,AFC Richmond,63,62,55,56,81,83
J. Frimpong,80,RM,Netherlands,Bayer 04 Leverkusen,94,54,73,83,72,70
Nuno Mendes,80,LB,Portugal,Paris Saint-Germain,89,57,73,78,74,73
S. Botman,80,CB,Netherlands,Newcastle United,58,37,60,62,80,84
J. Timber,80,CB,Netherlands,Ajax,82,47,67,77,81,81
Renan Lodi,80,LWB,Brazil,Nottingham Forest,83,68,76,80,74,75
Reguilón,80,LWB,Spain,Atlético de Madrid,83,57,74,78,77,69
V. Coufal,80,RB,Czech Republic,West Ham United,73,56,73,75,78,81
A. Rrahmani,80,CB,Kosovo,Napoli,61,51,58,61,82,80
S. McTominay,80,CDM,Scotland,Manchester United,63,74,74,75,78,85
L. Majer,80,CAM,Croatia,Stade Rennais FC,69,73,81,83,60,67
W. Saliba,80,CB,France,Arsenal,78,39,67,71,80,79
D. Livaković,80,GK,Croatia,Dinamo Zagreb,80,76,71,84,56,77
R. Baku,80,RM,Germany,VfL Wolfsburg,82,73,73,81,70,78
N. González,80,LM,Argentina,Fiorentina,87,73,73,83,45,64
E. Smith Rowe,80,CAM,England,Arsenal,78,71,76,81,32,61
J. Clauss,80,RWB,France,Olympique de Marseille,84,69,76,78,69,70
W. McKennie,80,CM,United States,Juventus,82,74,76,80,78,83
N. Milenković,80,CB,Serbia,Fiorentina,64,45,62,62,81,83
N. Aguerd,80,CB,Morocco,West Ham United,73,50,64,65,80,77
Nélson Semedo,80,RWB,Portugal,Wolverhampton Wanderers,83,57,69,80,75,74
C. Aránguiz,80,CDM,Chile,Bayer 04 Leverkusen,46,71,79,77,76,71
Lucas Moura,80,RW,Brazil,Tottenham Hotspur,89,77,70,85,46,68
Jonathan Viera,80,CAM,Spain,Unión Deportiva Las Palmas,80,75,79,81,63,72
Danilo,80,RB,Brazil,Juventus,72,67,73,74,81,79
Sergi Roberto,80,RB,Spain,FC Barcelona,74,63,79,77,75,72
Allan,80,CDM,Brazil,Everton,70,69,73,79,79,77
J. Cillessen,80,GK,Netherlands,N.E.C. Nijmegen,80,79,78,76,54,80
H. Vanaken,80,CM,Belgium,Club Brugge KV,44,79,81,76,59,74
S. Ortega,80,GK,Germany,Manchester City,76,74,86,85,52,80
Danilo Pereira,80,CDM,Portugal,Paris Saint-Germain,56,63,70,71,79,85
Morata,80,ST,Spain,Atlético de Madrid,80,78,72,78,31,77
L. Shaw,80,LB,England,Manchester United,76,54,78,78,79,78
C. Biraghi,80,LB,Italy,Fiorentina,76,69,78,77,77,76
E. Dier,80,CB,England,Tottenham Hotspur,54,64,70,65,80,84
Deulofeu,80,RW,Spain,Udinese Calcio,90,79,75,83,30,66
T. Hazard,80,LM,Belgium,Borussia Dortmund,75,76,79,83,53,65
T. Vaclík,80,GK,Czech Republic,Free agent,78,75,74,83,40,82
Edgar Badia,80,GK,Spain,Elche CF,78,77,77,83,44,78
K. Zouma,80,CB,France,West Ham United,62,51,62,56,80,84
M. Sabitzer,80,CM,Austria,FC Bayern München,72,81,79,79,66,76
K. Kampl,80,CM,Slovenia,RB Leipzig,69,66,81,83,62,62
A. Delort,80,ST,Algeria,OGC Nice,82,81,72,75,37,82
B. Leno,80,GK,Germany,Fulham,82,78,74,82,55,79
Alex Sandro,80,LB,Brazil,Juventus,76,65,73,78,76,78
Yeray,80,CB,Spain,Athletic Club de Bilbao,65,49,63,64,82,77
G. Ochoa,80,GK,Mexico,Free agent,82,73,70,84,50,81
H. Herrera,80,CM,Mexico,Houston Dynamo,66,75,76,76,76,82
A. Consigli,80,GK,Italy,U.S. Sassuolo Calcio,80,81,71,81,42,78
Raúl García,80,CM,Spain,Athletic Club de Bilbao,35,83,82,78,59,84
José Fonte,80,CB,Portugal,LOSC Lille,31,46,62,62,82,80
M. Hamšík,80,CM,Slovakia,Trabzonspor,64,77,82,80,71,71
A. Candreva,80,RM,Italy,US Salernitana 1919,70,79,80,81,61,62
S. Mignolet,80,GK,Belgium,Club Brugge KV,80,74,74,85,51,83
Joselu,80,ST,Spain,RCD Espanyol de Barcelona,63,81,69,73,31,76
D. Ospina,80,GK,Colombia,Al Nassr,81,76,77,82,34,80
E. Capoue,80,CM,France,Villarreal CF,53,73,78,75,79,78
G. Wijnaldum,80,CM,Netherlands,Roma,69,71,77,80,77,78
M. Kruse,80,CAM,Germany,VfL Wolfsburg,51,81,81,82,40,64
M. Darmian,80,RWB,Italy,Inter,71,59,70,76,81,69
F. Coquelin,80,CM,France,Villarreal CF,68,68,78,79,78,80
D. Blind,80,CDM,Netherlands,Ajax,42,62,82,79,81,70
A. Cragno,80,GK,Italy,AC Monza,82,79,73,83,39,77
R. Freuler,80,CM,Switzerland,Nottingham Forest,68,71,75,78,75,74
M. Arnold,80,CM,Germany,VfL Wolfsburg,65,80,78,78,76,75
V. Lindelöf,80,CDM,Sweden,Manchester United,59,51,72,72,82,76
Álex Moreno,80,LB,Spain,Real Betis Balompié,88,68,73,76,75,69
M. Dahoud,80,CM,Germany,Borussia Dortmund,70,69,77,85,67,70
J. Ledesma,80,GK,Argentina,Cádiz CF,82,77,72,83,46,78
H. Traoré,80,RB,Mali,Stade Rennais FC,83,57,72,76,75,78
A. Rebić,80,ST,Croatia,AC Milan,86,80,74,81,48,80
H. Hateboer,80,RWB,Netherlands,Atalanta,82,64,71,77,77,76
Kepa,80,GK,Spain,Chelsea,79,78,85,82,34,77
D. Calvert-Lewin,80,ST,England,Everton,81,77,64,76,39,80
L. Klostermann,80,RB,Germany,RB Leipzig,86,50,64,71,82,78
J. Correa,80,RW,Argentina,Inter,84,75,76,84,39,69
R. Karsdorp,80,RWB,Netherlands,Roma,85,63,74,77,75,79
Joan Jordán,80,CM,Spain,Sevilla FC,59,75,81,76,68,75
J. Bowen,80,LM,England,West Ham United,78,77,75,81,44,66
Álex Berenguer,80,RM,Spain,Athletic Club de Bilbao,81,76,76,82,64,64
S. Bergwijn,80,CAM,Netherlands,Ajax,86,78,75,83,42,70
E. Buendía,80,CAM,Argentina,Aston Villa,71,74,81,83,66,70
U. Çakır,80,GK,Turkey,Trabzonspor,80,77,72,82,54,81
G. Scamacca,80,ST,Italy,West Ham United,73,80,66,74,36,74
Morales,80,LM,Spain,Villarreal CF,83,81,74,82,52,67
M. Dúbravka,80,GK,Slovakia,Manchester United,78,76,79,81,46,77
W. Benítez,80,GK,Argentina,PSV,80,79,72,83,48,80
L. Paredes,80,CDM,Argentina,Juventus,64,71,82,78,76,78
S. Azmoun,80,ST,Iran,Bayer 04 Leverkusen,78,77,70,78,40,73
William Carvalho,80,CDM,Portugal,Real Betis Balompié,35,65,77,73,75,84
B. Cristante,80,CM,Italy,Roma,54,73,77,75,77,78
Saúl,80,CM,Spain,Atlético de Madrid,69,76,77,79,78,76
M. de Roon,80,CB,Netherlands,Atalanta,70,68,70,71,82,83
A. Belotti,80,ST,Italy,Roma,74,80,58,76,38,83
Fred,80,CM,Brazil,Manchester United,76,67,79,81,75,71
C. Günter,80,LB,Germany,Sport-Club Freiburg,80,58,71,71,75,82
A. Rabiot,80,CM,France,Juventus,75,73,76,79,76,79
Rui Silva,80,GK,Portugal,Real Betis Balompié,81,76,75,83,31,82
A. Romagnoli,80,CB,Italy,Lazio,66,40,55,67,83,77
Carles Gil,80,CAM,Spain,New England Revolution,71,70,81,80,39,64
A. Martial,80,ST,France,Manchester United,83,79,72,84,35,66
M. Dembélé,80,ST,France,Olympique Lyonnais,72,79,64,74,30,79
M. Flekken,80,GK,Netherlands,Sport-Club Freiburg,80,76,81,82,31,79
Alex Telles,80,LB,Brazil,Sevilla FC,79,74,81,77,75,71
A. Gouiri,79,CAM,France,Stade Rennais FC,78,81,76,80,45,69
N. Maksimović,79,CM,Serbia,Getafe CF,51,72,75,74,77,77
Unai Núñez,79,CB,Spain,RC Celta de Vigo,70,24,51,52,79,78
O. Kökçü,79,CAM,Turkey,Feyenoord,72,71,81,79,65,76
A. Nwakaeme,79,LM,Nigeria,Al Fayha,75,77,76,81,39,80
Luis Milla,79,CDM,Spain,Getafe CF,70,70,76,74,75,74
T. Malacia,79,LWB,Netherlands,Manchester United,85,56,66,77,76,76
J. David,79,ST,Canada,LOSC Lille,83,79,71,77,33,71
C. Gallagher,79,CM,England,Chelsea,74,76,75,78,67,74
A. Sánchez,79,CAM,Chile,Olympique de Marseille,72,77,78,83,43,67
P. Estupiñán,79,LB,Ecuador,Brighton & Hove Albion,81,46,69,72,75,76
J. Foyth,79,CB,Argentina,Villarreal CF,72,46,69,72,80,77
Kim Min Jae,79,CB,Korea Republic,Napoli,80,33,57,62,79,84
D. Szoboszlai,79,CAM,Hungary,RB Leipzig,77,79,81,80,34,64
David Neres,79,CAM,Brazil,SL Benfica,85,72,73,83,37,64
A. Ogbonna,79,CB,Italy,West Ham United,49,40,60,62,82,68
J. Boateng,79,CB,Germany,Olympique Lyonnais,47,49,73,66,80,74
Y. Fofana,79,CDM,France,AS Monaco,68,67,74,76,75,77
L. Stindl,79,CAM,Germany,Borussia Mönchengladbach,55,79,79,79,60,74
Luís Maximiano,79,GK,Portugal,Lazio,78,76,68,82,55,76
Diego López,79,GK,Spain,Rayo Vallecano,76,80,68,76,44,81
R. Gravenberch,79,CAM,Netherlands,FC Bayern München,77,76,78,83,68,72
Ansu Fati,79,CAM,Spain,FC Barcelona,88,77,72,82,30,53
Pedro,79,CAM,Spain,Lazio,73,74,76,86,36,51
G. Goodman,79,LB,England,AFC Richmond,83,55,74,78,75,66
M. Bumbercatch,79,CM,England,AFC Richmond,87,61,78,81,72,61
Gavi,79,CAM,Spain,FC Barcelona,76,64,77,83,65,67
Yeremy Pino,79,CAM,Spain,Villarreal CF,77,73,76,79,38,45
Gonçalo Inácio,79,CB,Portugal,Sporting CP,80,36,61,61,80,77
Vitinha,79,CAM,Portugal,Paris Saint-Germain,73,68,79,83,67,55
Matheus Nunes,79,CAM,Portugal,Wolverhampton Wanderers,82,71,73,82,74,76
G. Raspadori,79,CAM,Italy,Napoli,81,78,68,81,27,58
S. Chukwueze,79,LM,Nigeria,Villarreal CF,89,74,70,84,36,63
A. Musrati,79,CDM,Libya,SC Braga,58,61,70,70,78,83
Beto,79,ST,Portugal,Udinese Calcio,87,79,58,74,24,81
W. Fofana,79,CB,France,Chelsea,75,37,55,64,81,76
E. Camavinga,79,CDM,France,Real Madrid CF,76,66,78,81,76,78
Zubimendi,79,CM,Spain,Real Sociedad,59,64,74,74,79,70
Ibañez,79,CB,Brazil,Roma,82,32,45,58,81,79
M. Caqueret,79,CM,France,Olympique Lyonnais,73,58,73,81,75,68
B. Dia,79,ST,Senegal,US Salernitana 1919,83,78,62,76,27,76
M. Lanzini,79,CAM,Argentina,West Ham United,69,73,79,82,41,55
Guaita,79,GK,Spain,Crystal Palace,80,77,78,81,51,77
A. Talavera,79,GK,Mexico,Free agent,80,82,68,80,58,78
R. Bentancur,79,CDM,Uruguay,Tottenham Hotspur,67,62,79,80,78,77
G. Montiel,79,RWB,Argentina,Sevilla FC,83,60,70,75,75,81
L. Blas,79,CAM,France,FC Nantes,73,76,77,82,58,64
Matheus Reis,79,CB,Brazil,Sporting CP,73,53,67,74,79,82
Luimo Boas Santos,79,CF,Brazil,Santos,83,79,65,81,28,64
Gabri Prestão,79,GK,Brazil,Internacional,81,75,71,82,60,77
Melvin Parrela,79,CB,Brazil,RB Bragantino,71,70,70,72,80,83
Jorge Andrão,79,CDM,Brazil,Fluminense,67,62,74,75,78,76
Adnan Vidual,79,RB,Brazil,Internacional,83,52,70,71,76,71
Diego Essler,79,LB,Brazil,Clube Atlético Mineiro,89,58,70,77,74,59
Emelvinson,79,GK,Brazil,RB Bragantino,79,75,77,74,41,83
E. Ávila,79,ST,Argentina,CA Osasuna,80,80,65,78,44,83
O. Zinchenko,79,CM,Ukraine,Arsenal,68,65,80,80,77,69
E. Konsa,79,CB,England,Aston Villa,78,39,62,71,80,76
A. Rossi,79,GK,Argentina,Boca Juniors,80,76,72,80,41,79
D. Sánchez,79,CB,Colombia,Tottenham Hotspur,75,47,55,66,79,79
M. Cash,79,RWB,Poland,Aston Villa,80,67,71,75,74,76
B. Pavard,79,CB,France,FC Bayern München,66,55,72,71,81,78
Pablo Fornals,79,CM,Spain,West Ham United,67,74,79,79,69,71
N. Mukiele,79,CB,France,Paris Saint-Germain,78,49,68,72,81,80
N. Pépé,79,LW,Côte d'Ivoire,OGC Nice,88,77,74,82,36,62
A. Golovin,79,CAM,Russia,AS Monaco,77,72,78,82,60,66
David García,79,CB,Spain,CA Osasuna,61,37,65,65,80,75
E. Skhiri,79,CDM,Tunisia,1. FC Köln,68,72,71,75,79,75
A. Marušić,79,LB,Montenegro,Lazio,84,66,67,74,75,79
W. Weghorst,79,ST,Netherlands,Beşiktaş JK,60,77,60,69,52,86
J. Omlin,79,GK,Switzerland,Montpellier Hérault SC,80,75,73,82,52,76
J. Weigl,79,CDM,Germany,Borussia Mönchengladbach,59,64,75,77,79,75
D. van de Beek,79,CAM,Netherlands,Manchester United,67,77,76,78,72,75
D. Malen,79,ST,Netherlands,Borussia Dortmund,88,78,72,83,35,73
Rafa Mir,79,ST,Spain,Sevilla FC,78,81,67,71,45,78
B. White,79,CDM,England,Arsenal,70,29,67,72,81,76
J. Bijlow,79,GK,Netherlands,Feyenoord,82,75,78,80,58,76
S. Mandanda,79,GK,France,Stade Rennais FC,77,79,74,81,49,77
J. Evans,79,CB,Northern Ireland,Leicester City,50,32,60,58,82,76
Joaquín,79,CAM,Spain,Real Betis Balompié,66,78,85,79,44,53
D. Wass,79,CM,Denmark,Brøndby IF,73,77,80,76,75,75
Ó. Trejo,79,CAM,Argentina,Rayo Vallecano,68,76,78,82,71,77
A. Witsel,79,CDM,Belgium,Atlético de Madrid,34,63,79,75,78,74
J. Hernández,79,ST,Mexico,LA Galaxy,72,77,64,76,31,68
Sergio Asenjo,79,GK,Spain,Real Valladolid CF,80,77,78,78,57,77
A. Modeste,79,ST,France,Borussia Dortmund,69,78,63,70,35,79
F. Muslera,79,GK,Uruguay,Galatasaray SK,76,80,72,77,51,82
G. Buffon,79,GK,Italy,Parma,76,73,70,76,31,90
O. Wijndal,79,LWB,Netherlands,Ajax,84,53,76,78,73,74
Reinildo,79,LB,Mozambique,Atlético de Madrid,80,54,66,74,78,78
Fran Beltrán,79,CDM,Spain,RC Celta de Vigo,60,56,77,77,77,65
C. Ünder,79,RW,Turkey,Olympique de Marseille,78,77,75,80,38,52
Lucas Veríssimo,79,CB,Brazil,SL Benfica,81,39,58,63,80,81
T. Ndombele,79,CAM,France,Napoli,66,71,79,86,68,68
S. Özcan,79,CDM,Turkey,Borussia Dortmund,77,62,72,77,76,81
M. Lazzari,79,RM,Italy,Lazio,92,62,76,82,70,65
H. Aouar,79,CAM,France,Olympique Lyonnais,71,70,78,83,64,68
J. Brekalo,79,CAM,Croatia,VfL Wolfsburg,81,76,76,84,38,55
Diogo Costa,79,GK,Portugal,FC Porto,76,75,73,83,32,78
E. Reynoso,79,CAM,Argentina,Minnesota United FC,67,67,78,80,59,67
Marcão,79,CB,Brazil,Sevilla FC,67,36,60,70,78,86
D. Henderson,79,GK,England,Nottingham Forest,80,78,77,82,55,75
T. Tomiyasu,79,CB,Japan,Arsenal,74,33,67,71,80,79
L. Jović,79,ST,Serbia,Fiorentina,74,78,68,78,29,74
Pau López,79,GK,Spain,Olympique de Marseille,80,79,77,81,48,81
R. Tapia,79,CDM,Peru,RC Celta de Vigo,68,66,71,69,79,84
L. de Jong,79,ST,Netherlands,PSV,48,78,71,70,46,77
João Pedro,79,CF,Italy,Fenerbahçe SK,81,78,77,80,41,75
K. Bellarabi,79,RM,Germany,Bayer 04 Leverkusen,86,75,72,81,39,72
J. Tarkowski,79,CB,England,Everton,55,45,65,62,81,80
Suso,79,CAM,Spain,Sevilla FC,73,76,80,83,32,51
J. Draxler,79,CAM,Germany,SL Benfica,72,76,80,82,58,65
C. Coady,79,CB,England,Everton,47,57,75,66,79,73
Felipe Anderson,79,RW,Brazil,Lazio,85,75,77,83,55,63
J. Veretout,79,CDM,France,Olympique de Marseille,76,75,76,78,76,79
Ismaily,79,LB,Brazil,LOSC Lille,82,64,74,80,74,74
A. Marchesín,79,GK,Argentina,RC Celta de Vigo,80,77,76,80,54,79
L. Dunk,79,CB,England,Brighton & Hove Albion,44,51,62,63,80,79
M. Sels,79,GK,Belgium,RC Strasbourg Alsace,77,78,75,80,36,80
G. Xhaka,79,CDM,Switzerland,Arsenal,49,64,79,69,69,80
M. Riemann,79,GK,Germany,VfL Bochum 1848,78,74,85,82,52,78
Sérgio Oliveira,79,CM,Portugal,Galatasaray SK,58,78,82,76,71,70
M. Zaccagni,79,LW,Italy,Lazio,82,73,74,83,57,64
M. Perin,79,GK,Italy,Juventus,79,79,71,81,57,79
Juanmi,79,RW,Spain,Real Betis Balompié,76,80,72,81,31,59
N. Lodeiro,79,CAM,Uruguay,Seattle Sounders FC,69,73,80,81,49,69
C. Wilson,79,ST,England,Newcastle United,81,78,66,77,42,76
Y. Rakitskyi,79,CB,Ukraine,Adana Demirspor,68,67,76,71,79,82
D. Ings,79,ST,England,Aston Villa,72,82,70,78,45,70
N. Gudelj,79,CDM,Serbia,Sevilla FC,54,70,79,69,74,84
Marcos Alonso,79,LB,Spain,FC Barcelona,53,74,80,77,77,75
Ander Herrera,79,CDM,Spain,Athletic Club de Bilbao,61,71,77,78,78,74
N. Matić,79,CDM,Serbia,Roma,38,67,76,72,78,72
M. Silvestri,79,GK,Italy,Udinese Calcio,81,77,60,83,59,80
M. Antonio,79,ST,Jamaica,West Ham United,82,75,73,77,55,83
B. André,79,CDM,France,LOSC Lille,65,64,73,75,78,84
D. Klaassen,79,CAM,Netherlands,Ajax,68,80,74,76,73,78
A. Florenzi,79,RB,Italy,AC Milan,76,77,79,79,74,61
Héctor Bellerín,79,RB,Spain,FC Barcelona,81,51,70,77,75,64
A. Milik,79,ST,Poland,Juventus,61,82,69,74,39,69
Munir,79,LM,Morocco,Getafe CF,77,78,75,82,35,64
L. Ajorque,79,ST,France,RC Strasbourg Alsace,73,79,61,70,43,84
D. Djené,79,CB,Togo,Getafe CF,67,38,62,62,79,77
D. Zappacosta,79,LWB,Italy,Atalanta,78,66,73,74,75,72
L. Zelarayán,79,CAM,Armenia,Columbus Crew,71,76,78,82,46,66
F. Armani,79,GK,Argentina,River Plate,78,74,69,85,43,80
Adama Traoré,79,RW,Spain,Wolverhampton Wanderers,96,65,68,86,38,83
João Mário,79,CM,Portugal,SL Benfica,70,69,81,82,65,66
F. Bernardeschi,79,RM,Italy,Toronto FC,77,71,79,82,62,66
P. Onuachu,79,ST,Nigeria,KRC Genk,70,78,62,70,45,82
N. Stanciu,79,CM,Romania,Wuhan Three Towns,74,75,81,82,62,68
Rubén García,79,LM,Spain,CA Osasuna,77,76,79,79,45,54
C. Mbemba,79,CB,Congo DR,Olympique de Marseille,72,50,56,65,80,81
J. McGinn,79,CM,Scotland,Aston Villa,69,74,76,77,73,81
Jonny,79,LWB,Spain,Wolverhampton Wanderers,74,54,71,76,78,69
R. Ghezzal,79,RW,Algeria,Beşiktaş JK,72,72,82,81,28,60
Clinton Mata,79,RB,Angola,Club Brugge KV,83,61,68,74,78,80
A. Januzaj,79,RW,Belgium,Sevilla FC,77,72,79,83,30,57
B. Djimsiti,79,CB,Albania,Atalanta,71,39,59,50,82,81
A. Doucouré,79,CDM,Mali,Everton,67,76,74,78,78,82
Matheus,79,GK,Brazil,SC Braga,82,75,77,82,45,77
M. Keane,79,CB,England,Everton,52,49,63,62,80,79
L. Trossard,79,LM,Belgium,Brighton & Hove Albion,82,78,76,81,30,62
Manu Trigueros,79,CM,Spain,Villarreal CF,50,73,78,75,72,66
B. Davies,79,CB,Wales,Tottenham Hotspur,67,58,72,72,80,74
S. Umtiti,79,CB,France,Lecce,63,62,68,67,79,75
Denis Suárez,79,CAM,Spain,RC Celta de Vigo,72,72,81,81,64,55
E. Lamela,79,RW,Argentina,Sevilla FC,68,77,79,83,53,69
Luiz Felipe,79,CB,Italy,Real Betis Balompié,72,29,61,68,80,73
Jadson Bardeira,78,ST,Brazil,Sport Club Corinthians Paulista,73,82,62,70,31,75
A. Bayındır,78,GK,Turkey,Fenerbahçe SK,78,75,72,82,30,76
Puado,78,ST,Spain,RCD Espanyol de Barcelona,84,75,70,78,51,76
S. Diop,78,CAM,France,OGC Nice,71,72,75,83,54,54
A. Bah,78,RB,Denmark,SL Benfica,92,64,68,73,72,81
J. Todibo,78,CB,France,OGC Nice,75,44,63,65,79,76
J. Álvarez,78,CAM,Argentina,Manchester City,76,80,76,83,55,75
E. Fernández,78,CM,Argentina,SL Benfica,74,71,76,78,72,80
A. Espino,78,LB,Uruguay,Cádiz CF,87,63,68,73,74,82
Emerson Royal,78,RWB,Brazil,Tottenham Hotspur,74,62,71,74,75,76
T. Holeš,78,CDM,Czech Republic,SK Slavia Praha,77,70,70,73,77,82
C. De Ketelaere,78,CAM,Belgium,AC Milan,75,76,76,81,57,73
Gabriel Martinelli,78,RM,Brazil,Arsenal,87,71,68,80,45,68
J. Veerman,78,CM,Netherlands,PSV,67,70,81,78,65,74
P. Kalulu,78,CB,France,AC Milan,80,50,68,69,79,75
P. Hincapié,78,CB,Ecuador,Bayer 04 Leverkusen,83,39,64,71,78,74
Evanilson,78,ST,Brazil,FC Porto,74,76,63,76,25,72
G. Mamardashvili,78,GK,Georgia,Valencia CF,79,78,74,80,48,79
C. Hughes,78,LM,Wales,AFC Richmond,83,59,75,81,24,58
A. Dixon,78,RWB,England,AFC Richmond,79,66,72,71,75,67
T. Roberts,78,ST,Zimbabwe,AFC Richmond,85,79,59,78,32,71
M. Simakan,78,CB,France,RB Leipzig,71,39,62,64,80,79
B. Sosa,78,LWB,Croatia,VfB Stuttgart,79,53,77,78,72,70
J. Pavlenka,78,GK,Czech Republic,SV Werder Bremen,81,74,60,84,36,69
A. Saelemaekers,78,RM,Belgium,AC Milan,81,67,76,81,64,68
Melendo,78,CAM,Spain,Granada CF,80,64,79,79,47,58
R. Kolo Muani,78,ST,France,Eintracht Frankfurt,84,72,63,80,38,62
A. Haidara,78,CM,Mali,RB Leipzig,70,72,76,80,68,70
Pedro Neto,78,CAM,Portugal,Wolverhampton Wanderers,85,74,69,81,31,58
M. Gómez,78,ST,Uruguay,Trabzonspor,63,78,68,73,32,82
N. Lang,78,CAM,Netherlands,Club Brugge KV,86,73,72,83,50,67
S. Kalajdžić,78,ST,Austria,Wolverhampton Wanderers,63,75,68,73,46,70
G. Vicario,78,GK,Italy,Empoli,79,78,74,80,28,78
N. De la Cruz,78,CAM,Uruguay,River Plate,85,76,78,82,70,69
C. Hudson-Odoi,78,RM,England,Bayer 04 Leverkusen,81,68,74,82,48,59
H. Traorè,78,CAM,Côte d'Ivoire,U.S. Sassuolo Calcio,82,70,72,81,59,62
Junior Messias,78,RW,Brazil,AC Milan,84,73,73,81,49,60
N. Vlašić,78,CAM,Croatia,Torino F.C.,79,76,75,81,47,69
M. Guéhi,78,CB,England,Crystal Palace,73,39,58,68,79,75
E. Elmas,78,CAM,North Macedonia,Napoli,76,71,74,83,66,69
P. Rajković,78,GK,Serbia,RCD Mallorca,77,76,74,81,25,79
K. Mavropanos,78,CB,Greece,VfB Stuttgart,81,56,51,60,78,81
C. Baumgartner,78,CAM,Austria,TSG Hoffenheim,75,72,73,80,44,56
R. Faivre,78,CAM,France,Olympique Lyonnais,75,74,76,80,62,67
S. Gigot,78,CB,France,Olympique de Marseille,67,38,65,61,79,80
G. Maripán,78,CB,Chile,AS Monaco,33,42,58,53,79,79
G. Simeone,78,ST,Argentina,Napoli,77,79,64,75,41,76
Paulinho,78,ST,Portugal,Sporting CP,67,77,65,75,43,81
T. Stepanenko,78,CDM,Ukraine,Shakhtar Donetsk,65,63,71,69,77,78
Portu,78,RM,Spain,Getafe CF,87,74,72,76,57,77
Juan Bernat,78,LB,Spain,Paris Saint-Germain,74,64,76,81,75,58
Mário Rui,78,LB,Portugal,Napoli,80,53,73,78,73,65
R. Ruidíaz,78,ST,Peru,Seattle Sounders FC,83,79,66,79,33,69
C. Dawson,78,CB,England,West Ham United,49,47,59,55,79,77
Víctor Ruiz,78,CB,Spain,Real Betis Balompié,44,42,65,59,79,77
R. Pereyra,78,CM,Argentina,Udinese Calcio,76,74,77,79,68,74
Mario Gaspar,78,RB,Spain,Watford,72,69,72,72,77,76
M. Rits,78,CDM,Belgium,Club Brugge KV,74,72,74,75,73,77
M. Hitz,78,GK,Switzerland,FC Basel 1893,81,73,79,79,42,77
B. Mee,78,CB,England,Brentford,61,42,58,62,80,77
A. Cresswell,78,LB,England,West Ham United,64,60,75,75,77,68
G. Bonaventura,78,CM,Italy,Fiorentina,69,75,80,80,70,65
F. Caputo,78,ST,Italy,U.C. Sampdoria,79,79,62,78,30,67
O. Ighalo,78,ST,Nigeria,Al Hilal,69,79,65,73,43,83
M. Özil,78,CAM,Germany,İstanbul Başakşehir FK,69,70,83,79,24,45
C. Bravo,78,GK,Chile,Real Betis Balompié,77,78,84,78,56,78
S. Romero,78,GK,Argentina,Boca Juniors,78,75,77,80,46,76
A. Plea,78,CAM,France,Borussia Mönchengladbach,72,79,79,78,39,73
P. Bamford,78,ST,England,Leeds United,82,78,68,73,42,77
J. Lingard,78,CAM,England,Nottingham Forest,75,77,73,79,57,65
S. Dimitrievski,78,GK,North Macedonia,Rayo Vallecano,77,82,75,79,36,78
M. Cornet,78,ST,Côte d'Ivoire,West Ham United,87,76,71,77,67,77
A. Mitrović,78,ST,Serbia,Fulham,64,79,57,71,27,87
L. Alario,78,ST,Argentina,Eintracht Frankfurt,66,78,58,74,30,75
E. Rigoni,78,RM,Argentina,Austin FC,83,73,74,78,46,60
